"","age","female","married","employed","edu","ftotval","inctot","health"
"290",44,1,1,1,12,39788,19362,3
"291",49,0,1,1,14,135500,125250,3
"292",25,1,0,1,14,7001,7001,3
"293",36,1,1,0,14,34126,0,3
"294",59,1,0,0,0,77400,0,4
"295",54,0,1,0,14,85620,85560,3
"296",37,1,1,1,16,99000,63000,1
"297",44,1,1,0,12,209300,9300,4
"298",57,1,1,0,12,27000,0,2
"299",19,0,0,1,12,39001,15001,2
"300",60,0,0,1,16,60807,60807,3
"301",23,1,0,1,14,76718,9013,2
"302",53,0,1,1,12,65788,61570,3
"303",59,0,1,1,18,236008,180006,1
"304",57,1,1,1,18,250000,75000,3
"305",20,1,0,1,14,123012,6496,1
"306",39,1,1,1,14,98500,41500,2
"307",37,1,1,0,16,245014,-4994,3
"308",64,0,1,1,14,62140,43314,3
"309",51,0,0,1,12,87970,87970,1
"310",26,0,1,1,14,25632,12001,1
"311",49,0,0,1,12,35208,35208,2
"312",58,1,1,0,9,28836,28836,4
"313",55,1,1,1,12,76140,44966,3
"314",54,1,1,1,18,130018,50008,1
"315",58,1,0,1,14,62800,62800,1
"316",48,1,0,0,16,31334,20000,4
"317",51,1,1,0,12,56118,6,3
"318",42,0,1,1,18,178100,140000,3
"319",30,1,1,1,14,200040,40,3
"320",42,1,1,1,16,101067,69775,1
"321",52,1,1,0,12,110583,583,4
"322",53,1,0,1,18,89298,80130,4
"323",60,1,0,1,12,48000,48000,4
"324",34,1,0,0,14,6000,6000,1
"325",34,1,0,1,16,66775,66775,3
"326",54,0,0,0,12,26939,26939,4
"327",30,0,1,1,14,38942,31001,3
"328",42,0,1,1,14,126001,45000,1
"329",62,1,0,0,12,22615,22615,1
"330",22,0,1,1,12,40150,40150,1
"331",48,0,1,1,16,121469,107006,2
"332",26,1,0,0,12,74518,0,3
"333",52,1,1,1,14,148786,37530,2
"334",22,1,0,1,14,132136,7000,2
"335",45,0,1,0,19,0,0,2
"336",30,0,1,1,9,16500,16500,2
"337",57,1,1,0,16,217548,124098,1
"338",54,1,0,0,8,31261,31261,5
"339",40,0,1,1,16,375850,300430,1
"340",62,1,0,1,18,45000,45000,1
"341",57,1,0,1,18,83010,83010,1
"342",57,1,1,1,16,108133,48097,1
"343",38,0,1,1,14,78245,60015,2
"344",30,0,0,1,12,21000,21000,2
"345",29,1,0,1,12,25000,25000,1
"346",50,0,0,1,14,32706,2896,3
"347",46,0,1,1,12,135050,45010,3
"348",49,0,1,1,14,200002,200002,3
"349",29,1,0,0,11,41380,0,3
"350",35,1,1,1,18,131012,75010,3
"351",55,0,1,1,16,175062,79000,3
"352",56,1,1,1,12,59819,14077,2
"353",57,1,0,1,18,155426,155426,1
"354",43,0,1,1,18,130020,75010,1
"355",59,0,1,1,12,130479,111379,2
"356",39,1,1,1,14,101440,47502,3
"357",25,0,0,0,16,0,0,1
"358",27,1,1,0,10,26005,0,3
"359",40,1,1,1,21,323000,93001,1
"360",55,0,0,1,8,0,0,4
"361",35,1,1,0,12,25033,0,1
"362",42,0,1,0,14,77500,37500,2
"363",58,0,1,1,14,103852,103001,2
"364",40,0,0,1,12,64368,53000,1
"365",38,1,1,0,16,103891,81,1
"366",63,0,1,0,18,137344,95789,1
"367",49,1,1,1,16,130336,79002,2
"368",56,1,1,1,12,73225,23001,2
"369",64,0,1,0,12,184390,45795,4
"370",34,1,1,1,12,112002,55001,1
"371",35,1,1,1,16,88603,55400,3
"372",55,0,1,1,12,128338,60169,3
"373",28,0,0,0,16,105100,105100,3
"374",30,1,0,1,12,15000,15000,1
"375",43,1,0,1,18,52000,52000,3
"376",42,0,1,1,9,32000,32000,4
"377",33,1,1,1,12,65500,30100,3
"378",44,1,1,1,16,95915,28000,1
"379",55,0,1,0,16,8709,320,1
"380",21,0,1,0,14,131996,10140,1
"381",34,1,1,1,12,86925,31022,1
"382",48,0,1,1,12,130043,65030,1
"383",36,1,0,1,16,36015,36015,1
"384",55,1,0,1,14,42035,42035,5
"385",43,0,1,1,14,114054,60027,2
"386",35,0,1,1,12,65010,40010,2
"387",50,0,1,1,16,134721,130597,4
"388",35,0,1,1,14,97168,69553,3
"389",56,0,0,1,14,30001,30001,2
"390",35,1,1,1,11,95789,19788,3
"391",51,1,1,1,16,133000,69000,1
"392",21,1,0,0,14,55000,0,1
"393",20,1,0,1,14,9150,9150,3
"394",45,1,0,0,12,0,0,3
"395",31,0,1,1,19,130000,68000,2
"396",41,1,0,0,16,0,0,2
"397",36,1,0,1,9,2000,2000,2
"398",62,1,0,0,12,43684,12684,4
"399",26,0,1,1,16,65000,25000,3
"400",28,0,0,1,16,156246,125246,2
"401",56,1,0,1,16,80000,40000,1
"402",52,0,1,1,18,112265,83137,1
"403",21,1,0,1,14,145774,6040,2
"404",23,1,0,1,14,132000,25000,1
"405",38,1,1,1,14,131224,75000,1
"406",25,0,0,1,12,78014,40017,3
"407",31,1,0,1,18,201695,50000,3
"408",28,1,0,0,14,0,0,3
"409",59,0,0,1,18,128509,42000,3
"410",27,0,1,1,14,146021,116021,2
"411",40,0,0,1,16,45006,45006,1
"412",56,0,1,1,21,236483,206000,1
"413",21,1,0,1,14,13002,13002,1
"414",46,0,1,1,12,41311,25201,3
"415",44,1,1,1,14,80032,24032,3
"416",43,0,1,1,9,78028,45020,3
"417",29,1,1,1,21,168100,81000,1
"418",43,1,1,1,21,125250,65100,1
"419",37,0,1,0,12,14412,14406,1
"420",42,0,1,1,14,46366,7000,4
"421",58,0,1,1,12,30002,30002,3
"422",37,1,1,0,12,20004,0,3
"423",37,1,1,1,18,102147,36090,3
"424",44,1,1,0,12,23000,0,2
"425",39,0,1,1,12,48960,24960,3
"426",57,1,1,1,12,114212,10020,2
"427",45,0,1,1,12,58000,40000,1
"428",21,1,0,0,12,41000,0,1
"429",40,0,1,0,12,41003,1003,3
"430",62,1,1,1,18,84524,72024,4
"431",26,0,0,0,12,70000,70000,1
"432",48,1,0,0,6,10000,0,4
"433",20,0,0,1,14,58650,8610,1
"434",56,1,0,0,10,3600,3600,4
"435",55,0,0,1,14,96874,17000,3
"436",35,1,1,1,16,41000,5000,2
"437",23,1,0,1,16,236303,24020,1
"438",26,1,0,1,14,54000,54000,2
"439",47,1,1,1,12,116000,45000,3
"440",23,1,0,0,12,0,0,3
"441",61,0,1,1,10,20000,20000,3
"442",40,0,0,0,12,32778,31578,3
"443",54,0,1,1,14,124098,119650,2
"444",22,1,1,0,14,22000,0,3
"445",40,1,0,0,12,0,0,1
"446",33,1,1,0,12,50480,240,2
"447",52,1,1,1,16,99622,64822,2
"448",27,1,1,0,14,71000,0,1
"449",36,1,0,1,12,60432,60432,1
"450",23,1,0,1,12,30701,30701,1
"451",56,0,1,1,12,114087,40000,2
"452",28,0,0,1,12,23500,23500,2
"453",50,0,1,1,12,30152,30002,3
"454",33,0,1,1,18,65002,65001,3
"455",59,0,1,1,16,108903,66741,2
"456",25,1,0,1,14,5000,5000,2
"457",20,1,0,1,14,30000,30000,3
"458",33,1,1,1,12,82002,49500,3
"459",62,0,0,0,12,7031,7031,3
"460",40,1,1,0,18,322611,52603,1
"461",38,1,0,1,16,22000,22000,1
"462",32,1,1,0,14,55502,15000,2
"463",34,0,1,1,14,6000,6000,1
"464",34,0,0,1,11,28400,18000,1
"465",23,0,0,1,12,75008,26002,2
"466",30,0,0,1,16,26005,26005,1
"467",53,0,1,1,18,234531,160944,2
"468",25,0,1,1,16,85389,37257,1
"469",46,0,0,1,14,50173,50173,2
"470",47,1,0,1,14,85488,85288,2
"471",40,1,1,0,16,120008,4,2
"472",28,0,0,0,12,49040,8000,1
"473",62,0,1,1,14,56749,56746,2
"474",53,1,1,0,4,69666,26,4
"475",53,0,0,1,14,55170,40029,3
"476",46,0,1,1,14,44500,35000,1
"477",61,0,1,1,12,72050,40050,4
"478",55,1,1,0,12,104031,20801,5
"479",20,0,0,1,14,86208,17000,1
"480",43,1,1,0,14,165800,23000,3
"481",39,1,1,1,14,120676,32352,3
"482",21,1,0,1,14,17100,2000,1
"483",40,1,1,1,16,145556,39037,1
"484",35,1,1,0,11,26000,0,2
"485",21,1,0,1,9,51917,4500,2
"486",25,0,0,1,12,26000,26000,2
"487",20,1,0,0,14,232315,28200,1
"488",22,1,0,1,16,10502,10502,1
"489",60,1,1,1,14,13259,0,3
"490",27,1,1,0,18,69003,0,2
"491",59,0,0,0,12,60000,0,4
"492",30,0,1,1,14,30000,30000,2
"493",29,1,0,1,11,6000,6000,2
"494",59,0,1,1,16,221521,146512,1
"495",48,1,1,1,12,68774,53661,2
"496",31,0,0,1,14,70100,70100,2
"497",26,0,0,0,12,23362,0,5
"498",43,1,1,0,18,60005,3,3
"499",54,0,1,1,12,91244,91244,2
"500",44,0,1,1,18,150000,150000,2
"501",54,1,0,0,14,400006,400006,1
"502",35,1,1,1,12,46983,10035,1
"503",36,1,1,0,18,123244,194,1
"504",40,1,0,0,14,15901,15901,4
"505",51,1,0,1,12,74262,35002,3
"506",31,1,1,0,16,80863,16,2
"507",50,1,0,1,14,50035,50035,3
"508",52,1,1,0,16,81246,11264,3
"509",24,0,1,1,9,34352,32000,1
"510",50,0,0,0,9,14400,14400,2
"511",46,1,1,1,16,117843,29000,1
"512",62,1,1,0,14,34000,4000,4
"513",34,0,1,1,18,101252,99002,1
"514",39,0,1,1,14,104635,36610,2
"515",45,1,1,1,16,70000,50000,2
"516",25,0,0,1,12,40002,40002,1
"517",63,1,1,1,12,203709,48676,1
"518",31,0,0,1,12,10002,10002,2
"519",47,0,1,1,12,62000,20000,1
"520",46,0,1,1,18,201124,115034,4
"521",22,0,0,1,14,15000,15000,1
"522",23,1,0,1,12,90374,4400,2
"523",51,1,1,1,14,83646,60000,3
"524",32,0,1,1,16,135102,100100,1
"525",52,0,1,1,14,74069,23004,1
"526",50,1,1,1,12,76225,43003,2
"527",55,1,1,1,12,68076,14053,2
"528",32,1,0,0,14,6300,6300,3
"529",46,1,1,0,12,0,0,2
"530",21,1,0,1,14,24000,24000,2
"531",43,1,0,0,14,0,0,4
"532",39,0,0,1,6,70000,35000,2
"533",62,1,1,1,14,203086,100905,1
"534",63,1,1,0,12,5904,0,3
"535",36,1,0,1,12,38200,38200,2
"536",51,1,1,1,16,165192,80100,1
"537",19,1,0,0,12,92021,0,1
"538",26,1,0,1,14,40029,40029,2
"539",32,1,1,1,16,240419,95010,1
"540",38,0,1,0,14,66014,0,2
"541",43,0,1,1,12,64000,24000,3
"542",38,0,1,1,18,99090,65060,2
"543",37,1,1,0,14,200004,2,2
"544",55,1,0,1,14,44396,40396,5
"545",23,0,0,0,12,71352,0,2
"546",30,1,1,1,14,76704,18202,2
"547",56,1,1,0,6,51539,5519,3
"548",38,0,0,0,4,2500,0,3
"549",43,0,0,1,16,41000,41000,3
"550",48,1,0,1,18,71407,47403,2
"551",25,0,1,0,12,36000,20000,2
"552",33,0,1,1,12,107171,52407,1
"553",51,1,1,1,16,293225,283225,2
"554",20,0,0,0,14,0,0,2
"555",42,1,0,1,16,49427,39152,1
"556",48,1,1,0,14,175503,40500,3
"557",61,1,1,1,18,110041,25003,3
"558",47,0,0,1,14,41819,30000,3
"559",37,0,0,1,14,51300,51300,2
"560",38,1,1,1,12,43189,21187,1
"561",27,1,1,0,12,49000,15000,3
"562",41,0,1,1,12,116000,1e+05,2
"563",52,1,0,0,12,0,0,1
"564",31,0,1,1,16,114021,95018,2
"565",61,1,1,0,12,91478,41596,3
"566",61,0,1,1,12,48848,38000,2
"567",30,0,1,0,12,17148,6048,3
"568",33,0,1,1,21,117000,117000,4
"569",22,0,0,0,14,75000,0,2
"570",41,1,0,1,8,6000,6000,4
"571",27,1,0,1,16,105800,30000,3
"572",52,0,0,1,16,62000,62000,1
"573",48,1,0,1,14,37069,37069,1
"574",58,0,1,1,11,55109,40014,2
"575",34,0,1,1,12,7800,7800,1
"576",30,0,0,1,16,133002,55000,3
"577",24,0,1,1,14,35100,35100,3
"578",34,0,0,1,12,50006,50006,1
"579",37,1,1,0,16,91164,2,1
"580",36,0,1,1,18,111865,109855,2
"581",28,0,0,1,14,31100,31100,1
"582",43,1,1,0,12,30000,0,3
"583",46,0,0,1,12,28000,28000,2
"584",34,0,1,1,12,60880,39601,3
"585",30,1,0,1,18,0,0,3
"586",58,0,1,1,16,90000,36000,2
"587",58,1,1,0,12,32746,5087,4
"588",38,1,0,1,12,21500,21500,2
"589",48,1,1,1,18,155769,25039,1
"590",48,0,1,1,14,119918,60003,3
"591",64,0,0,0,14,5459,5459,2
"592",34,1,0,0,14,81000,81000,3
"593",37,1,0,0,12,50600,50600,4
"594",36,1,1,1,19,76647,76647,2
"595",21,1,1,0,12,15600,0,3
"596",34,0,0,1,14,117000,20000,4
"597",36,0,0,1,16,197163,75058,1
"598",29,1,1,1,14,82230,70230,1
"599",61,0,1,0,9,50004,0,1
"600",23,1,0,1,16,39000,39000,1
"601",62,1,1,0,12,45652,9363,3
"602",45,0,0,1,14,66000,66000,1
"603",20,0,0,1,12,89637,6004,2
"604",58,1,1,1,16,283053,66109,1
"605",37,0,1,1,18,210194,178563,3
"606",20,1,0,0,12,800,800,2
"607",36,1,0,0,12,0,0,2
"608",42,1,1,1,21,105021,50010,1
"609",35,0,1,1,14,80018,40000,1
"610",40,0,1,1,16,162139,33977,3
"611",37,1,1,0,16,143440,1016,3
"612",57,1,0,1,14,75010,45010,3
"613",62,1,1,1,16,45002,22501,2
"614",53,1,0,0,14,366,366,2
"615",49,1,0,1,14,14932,13430,2
"616",35,0,1,1,14,65185,65080,1
"617",42,0,0,1,14,68078,68078,4
"618",60,1,0,0,12,13200,0,1
"619",64,1,1,0,14,28360,1900,3
"620",47,0,1,1,6,80917,45008,3
"621",32,1,1,0,12,53200,13200,4
"622",44,0,1,1,14,122552,80052,1
"623",38,0,1,1,14,101502,54042,3
"624",62,0,1,0,14,60885,37671,3
"625",37,0,1,1,16,265258,191129,1
"626",54,0,1,1,18,148248,91008,2
"627",24,0,0,1,12,10000,10000,2
"628",48,1,1,1,16,130074,65037,1
"629",55,0,0,0,12,12001,12001,1
"630",35,1,0,1,16,63748,63748,1
"631",35,0,1,1,18,141411,92436,2
"632",61,1,1,1,18,210198,110005,2
"633",43,0,1,1,11,87237,72164,2
"634",30,1,0,1,12,30000,0,1
"635",53,1,1,1,14,118203,102003,2
"636",25,0,0,0,18,0,0,1
"637",49,0,1,1,16,149042,125020,1
"638",32,0,1,1,19,160001,117000,1
"639",21,1,0,1,14,349275,10050,2
"640",19,0,0,1,11,18651,6651,2
"641",32,1,0,1,12,12002,12002,2
"642",32,0,1,1,18,111122,33072,1
"643",46,1,0,1,12,20000,20000,1
"644",47,0,1,1,16,230301,230201,1
"645",40,0,1,1,12,30000,30000,2
"646",49,1,0,1,12,43504,27494,3
"647",26,1,0,1,16,147338,40291,1
"648",50,0,1,1,10,48992,1500,5
"649",31,1,1,0,14,101,101,3
"650",59,0,1,0,12,32411,32411,4
"651",32,0,0,1,14,107523,107523,2
"652",35,1,1,1,21,200082,100050,1
"653",27,1,1,1,19,112044,6022,2
"654",59,0,0,1,14,30054,30054,2
"655",34,1,1,1,14,99042,40000,3
"656",30,1,0,1,16,213081,41900,1
"657",33,1,1,1,16,331200,180600,1
"658",21,1,0,1,12,40000,40000,1
"659",48,1,0,1,12,116148,72100,1
"660",27,1,0,1,14,21002,21002,3
"661",23,0,0,1,16,21900,5900,1
"662",53,0,1,1,12,52910,52910,2
"663",47,0,0,1,14,50577,50577,3
"664",26,1,1,1,12,36500,16500,3
"665",58,1,1,1,14,20254,20000,3
"666",62,1,0,0,12,25503,25503,2
"667",57,1,0,1,14,56500,56500,4
"668",45,0,1,0,14,180379,30069,1
"669",64,1,1,1,14,74216,39750,3
